"filename", "language", "Batch", "Python", "Properties", "PowerShell", "Markdown", "XML", "comment", "blank", "total"
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\mercurial.py", "Python", 0, 82, 0, 0, 0, 0, 2, 20, 104
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\vcs\subversion.py", "Python", 0, 145, 0, 0, 0, 0, 22, 34, 201
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_internal\wheel.py", "Python", 0, 691, 0, 0, 0, 0, 275, 130, 1096
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\__init__.py", "Python", 0, 69, 0, 0, 0, 0, 33, 10, 112
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\appdirs.py", "Python", 0, 302, 0, 0, 0, 0, 240, 63, 605
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\__init__.py", "Python", 0, 6, 0, 0, 0, 0, 4, 2, 12
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py", "Python", 0, 35, 0, 0, 0, 0, 4, 19, 58
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py", "Python", 0, 83, 0, 0, 0, 0, 27, 24, 134
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\cache.py", "Python", 0, 23, 0, 0, 0, 0, 4, 13, 40
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\caches\__init__.py", "Python", 0, 2, 0, 0, 0, 0, 0, 1, 3
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py", "Python", 0, 88, 0, 0, 0, 0, 30, 29, 147
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py", "Python", 0, 21, 0, 0, 0, 0, 3, 10, 34
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\compat.py", "Python", 0, 20, 0, 0, 0, 0, 3, 7, 30
"x:\Programming\Python\Capsian-Engine\venv\Windows\Lib\site-packages\pip\_vendor\cachecontrol\controller.py", "Python", 0, 223, 0, 0, 0, 0, 80, 65, 368
